RECALL,,,,,,,,,
,L08,L09,L10,L11,L12,L13,L14,L15,
AlphaMining,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,
Alpha+,0.14,0.141,0.143,0.145,0.147,0.148,0.148,0.149,
IM,0.973,0.972,0.969,0.968,0.977,0.977,0.977,0.977,
ILP,0.966,0.966,0.967,0.967,0.967,0.967,0.967,0.967,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PRECISION,,,,,,,,,
,L08,L09,L10,L11,L12,L13,L14,L15,
AlphaMining,0.5609,0.5585,0.552,0.5467,0.5432,0.5407,0.5397,0.5379,
Alpha+,0.3585,0.3591,0.3617,0.3617,0.3624,0.363,0.3632,0.3636,
IM,0.4393,0.4399,0.4417,0.4431,0.4441,0.4448,0.445,0.4456,
ILP,0.2924,0.2919,0.2906,0.2895,0.2888,0.2883,0.2881,0.2878,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
F1 SCORE,,,,,,,,,
,L08,L09,L10,L11,L12,L13,L14,L15,
AlphaMining,0.718429515,0.716457785,0.711087041,0.706674387,0.703743743,0.701642268,0.700799766,0.6992805,
Alpha+,0.201364092,0.202491902,0.204965722,0.207012039,0.209159011,0.210270059,0.210303599,0.211378853,
IM,0.605308929,0.605684255,0.606801304,0.607924031,0.610633594,0.611294978,0.611483826,0.612050049,
ILP,0.44891672,0.448327212,0.446899173,0.445597294,0.444767638,0.44417446,0.443937057,0.44358081,
