PRECISION,,,,,,,,,
,L08,L09,L10,L11,L12,L13,L14,L15,
AlphaMining,0.5609,0.5585,0.552,0.5467,0.5432,0.5407,0.5397,0.5379,
Alpha+,0.3585,0.3591,0.3617,0.3617,0.3624,0.363,0.3632,0.3636,
IM,0.4393,0.4399,0.4417,0.4431,0.4441,0.4448,0.445,0.4456,
ILP,0.2924,0.2919,0.2906,0.2895,0.2888,0.2883,0.2881,0.2878,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
